workflow,job,github_script_count,has_setup_api_client,coverage_status,fix_status,fix_pr,fix_date,notes
agents-issue-optimizer.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-keepalive-dispatch-handler.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-keepalive-loop.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-moderate-connector.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-verifier.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-verify-to-issue-v2.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-verify-to-new-pr-autopilot.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-verify-to-new-pr.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-weekly-metrics.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
archived/maint-63-ensure-environments.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
autofix.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
health-40-repo-selfcheck.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
health-41-repo-health.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
health-44-gate-branch-protection.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
health-67-integration-sync-check.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
health-68-consumer-sync-drift.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
health-70-validate-sync-manifest.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
health-71-sync-health-check.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
health-75-api-rate-diagnostic.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
health-codex-auth-check.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-46-post-ci.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-50-tool-version-check.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-62-integration-consumer.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-66-monthly-audit.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-69-sync-labels.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-70-fix-integration-formatting.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-71-auto-fix-integration.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-71-merge-sync-prs.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-72-fix-pr-body-conflicts.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-74-ledger-base-sync.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
maint-coverage-guard.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
pr-00-gate.yml,summary,,Yes,Covered,Fixed,,2026-02-03,Added setup-api-client to template workflow
reusable-18-autofix.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
reusable-70-orchestrator-init.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
reusable-70-orchestrator-main.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
reusable-agents-issue-bridge.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
reusable-agents-verifier.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
reusable-codex-run.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
selftest-reusable-ci.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
